Level,Organization Name,Parent Organization Name,Account Type Alias,Current Balance,Avaliable Balance,Reserved Balance,Unclear Balance
2	,"	2059872-Xawadlow Co Ltd MAMA CECILIA KIOSK SAMBUT"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH7,159.40"	,"KSH7,159.40"	,"KSH0.00"	,"KSH0.00"	
2	,"	2059873-Xawadlow Co Ltd HANAN GENERAL SHOP KINANGOP"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH7,840.10"	,"KSH7,840.10"	,"KSH0.00"	,"KSH0.00"	
2	,"	2067585-Xawadlow Co Ltd FAIRVIEW GENERAL SHOP GITHURAI 44"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH1,919.20"	,"KSH1,919.20"	,"KSH0.00"	,"KSH0.00"	
2	,"	2067586-Xawadlow Co Ltd PREMIER MOTOR SPARE SHOP"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH1,908.80"	,"KSH1,908.80"	,"KSH0.00"	,"KSH0.00"	
2	,"	2068762-Xawadlow Co Ltd MIMA gen SHOP LANGAS ELDORET"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH11,085.00"	,"KSH11,085.00"	,"KSH0.00"	,"KSH0.00"	
2	,"	2068923-Xawadlow Co Ltd JAMBOLOCKS"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH7,968.90"	,"KSH7,968.90"	,"KSH0.00"	,"KSH0.00"	
2	,"	2068924-Xawadlow Co Ltd KOBITIKA SHOP"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH19,133.99"	,"KSH19,133.99"	,"KSH0.00"	,"KSH0.00"	
2	,"	2073325-Xawadlow Co Ltd DEEKAY SHOP KISERIAN KAJIADO COUNTY"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH3,577.60"	,"KSH3,577.60"	,"KSH0.00"	,"KSH0.00"	
2	,"	2073326-Xawadlow Co Ltd CLAY CITY STREET Thika Makongeni"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH5,184.98"	,"KSH5,184.98"	,"KSH0.00"	,"KSH0.00"	
2	,"	2073327-Xawadlow Co Ltd SAWICH SHOP NGERE KAGOROAWASI"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH10,884.45"	,"KSH10,884.45"	,"KSH0.00"	,"KSH0.00"	
2	,"	2074929-Xawadlow Co Ltd NEEMA SHOP KAMUKURU STAGE"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH4,098.60"	,"KSH4,098.60"	,"KSH0.00"	,"KSH0.00"	
2	,"	2074931-Xawadlow Co Ltd GLEN SHOP OMOBERA MARKET"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH4,198.53"	,"KSH4,198.53"	,"KSH0.00"	,"KSH0.00"	
2	,"	2088626-Xawadlow Co Ltd Leon Shop Siaya"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH3,521.80"	,"KSH3,521.80"	,"KSH0.00"	,"KSH0.00"	
2	,"	2135574-Xawadlow Co Ltd VECTOR CYBER Molo"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH3,615.77"	,"KSH3,615.77"	,"KSH0.00"	,"KSH0.00"	
2	,"	2135575-Xawadlow Co Ltd PALE PALE HOTEL MARSABIT"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH6,322.60"	,"KSH6,322.60"	,"KSH0.00"	,"KSH0.00"	
2	,"	3004202-XAWADLOW COMPANY   SAJILONI DALLASS SHOP Namanga KIAMBU"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH0.00"	,"KSH0.00"	,"KSH0.00"	,"KSH0.00"	
2	,"	424176-Xawadlow Co Ltd MOMBASA ROAD Agg"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH7,143.79"	,"KSH7,143.79"	,"KSH0.00"	,"KSH0.00"	
2	,"	424177-Xawadlow Co Ltd DOSKIM ENTERPRICE RAJEJA PLAZA ELDAMARAVINE"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH3,358.80"	,"KSH3,358.80"	,"KSH0.00"	,"KSH0.00"	
2	,"	424178-Xawadlow Co Ltd NJIA PARADISE GIKOMBA"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH970.00"	,"KSH970.00"	,"KSH0.00"	,"KSH0.00"	
